Fecha,EVENTO,A/C,ENCABEZADO EVENTO,Minutos
2023-06-11,47773,Avión 3,FUGA DE HIDRÁULICO,290
2020-02-02,7030,Avión 4,928551,290
2021-01-17,12430,Avión 4,966351,288
,32388,,-,288
2024-05-29,65863,Avión 19,FUGA DE COMBUSTIBLE,286
2022-10-12,36257,Avión 12,AFTER ENG 1 START EICAS MESSAGE FUEL FEED 1 FAULT,285
2024-03-02,61446,Avión 24,LIGHTNING STRIKE,285
2023-03-25,43803,Avión 12,NO MAINTENANCE ACTION - OPERATIONAL,282
2021-10-18,20270,Avión 4,REQUERIMIENTO DE PRUEBA DE POTENCIA EN CABECERA,281
2022-10-23,36779,Avión 14,ATPS. TEST ENG 2 FAIL,280
2023-01-28,41240,Avión 24,FUEL 1 LOW PRESS,280
2020-03-05,7514,Avión 20,420271,278
2024-01-16,59159,Avión 28,DAÑOS DEBIDO A CAUSAS METEOROLÓGICAS,276
2022-03-09,26322,Avión 2,CABIN TEMP SEL. DOESNT WORK.,275
2023-04-19,45077,Avión 24,FUGA DE ACEITE INTERCAMBIADOR MOTOR 2,275
2023-03-07,42889,Avión 1,HYD LEAK,274
2021-08-22,17847,Avión 31,LO LVL BLUE HYD SYSTEM,274
2024-04-13,63489,Avión 11,INDICADOR ITT FLUCTUA CONTINUAMENTE ENTRE 3 Y 4,272
2020-08-26,9792,Avión 2,941911,269
2023-06-26,48563,Avión 35,SOBRETEMPERATURA EN CARRERA DE DESPEGUE VUELVE A PARKING,268
2023-11-12,56045,Avión 32,ENG. RPL,266
2022-10-10,36172,Avión 8,FUEL CLOG IN FLIGHT - ENG 2,264
2022-11-09,37591,Avión 20,STARTER GENERATOR ENGINE 2 FAULT,264
2018-08-03,17,Avión 4,PILOT REPORT-OPERATIONAL TLB 00809541,261
2022-10-23,36806,Avión 28,PÉRDIDA DE NITRÓGENO,260
,16344,,-,260
2023-07-17,49735,Avión 13,LATERAL DCHO DE AC MANCHADO DE ACEITE Y PARTE BAJA MOTOR,258
2019-07-14,3132,Avión 22,CREW SOLICITA MTTO A LAS 1445Z A TRAVES DE AH,257
2022-08-13,33343,Avión 7,FINDING NRC TASKCARD 541002-DVI-10010-2 00  ITEM ONE,257
2023-05-13,46379,Avión 24,SMOKE DETECTOR,257
,867,,-,257
2022-12-26,39823,Avión 2,AIRFRAME FAULT  AUTOPILOT FAULT,256
2024-05-29,65878,Avión 39,PENDIENTE DOCUMENTACION ATR,253
2019-08-22,4011,Avión 16,SOLICITAN MTTO,253
2019-06-05,2406,Avión 4,PENDIENTE CONFIRMAR ESTADO  AVION EN ACE,250
2019-04-08,1420,Avión 13,TRABAJOS PROGRAMADOS,250
2019-08-26,4081,Avión 23,AVION INOPERATIVO EN TFN,249
2021-07-25,16731,Avión 31,LEFT TO LVL ALERT NOT WORKING FUEL,249
2023-10-07,54202,Avión 23,AL ENCENDER LES HA DADO VARIOS FALLOS,248
2024-03-16,62116,Avión 14,NECESIDAD DE MTTO POR PROBLEMAS CON ALTERNADOR,248
2022-08-13,33352,Avión 19,CABIN PAX DOOR TO CARGO BAY DOESNT CLOSE PROPERLY,247
2023-05-30,47190,Avión 23,PROPELLER BRAKE,247
2022-09-29,35587,Avión 16,HYDRAULIC LOST ON LEFT MAIN LANDING GEAR,245
,1682,,-,245
,6808,,-,244
2023-07-09,49243,Avión 8,REPORTAN FALLOS DE MOTOR,242
2022-12-13,39203,Avión 32,WEATHER FAIL PREDCT WINDSHEAR FAIL,242
2023-08-24,51833,Avión 41,IASC FAIL,241
2024-02-22,60956,Avión 25,PEC FAULT,241
2023-02-26,42471,Avión 15,MAREP VERBAL REPORT RH NAV LIGHT INOP,240
2021-12-13,23051,Avión 6,CAMBIO DE MOTOR,239
2023-08-19,51561,Avión 40,OVERHEAT DEL BLEED,239
2022-11-20,38090,Avión 23,PASSENGER DOOR LOCKING SYSTEM US,239
2019-05-12,1990,Avión 31,AC SOLICITA MMTO EN LPA,238
2023-07-05,49041,Avión 18,FALLO GEN2,238
2019-03-02,875,Avión 7,SOLICITAN MTTO,238
2020-10-01,10508,Avión 2,943861,238
2022-10-13,36303,Avión 8,ELEC INV 1 JUST PRIOR TO TAKE OFF,236
2022-09-27,35467,Avión 17,MAINTENANCE REPORT - TECHNICAL,236
2022-08-25,33912,Avión 15,SCHEDULED MAINTENANCE NOT PERFORMED - TECHNICAL,236
2022-12-22,39675,Avión 37,AUTO PRESS FAULT,235
2024-05-10,64855,Avión 1,BLEED LEAK MOTOR 1,235
2023-01-30,41318,Avión 24,ENG 1 FUEL LO PRESS,235
2021-11-10,21457,Avión 7,THE RUDDER IS VERY HARD,234
2023-06-02,47307,Avión 8,BOROSCOPE FINDING CRACKS,233
2021-08-01,17015,Avión 15,DENT BLADE,233
2021-07-18,16443,Avión 23,ENG 1 BLEED LEAK,233
2024-05-29,65855,Avión 36,PACK 1 FAULT,233
2023-06-30,48801,Avión 13,GOTAS DE ACEITE PARTE SUPERIOR,232
2022-02-25,25837,Avión 18,TO CONFIG TEST WARNING,232
2019-08-13,3800,Avión 3,AVERIA TARJETA CPM 1 INOP,231
2022-08-22,33781,Avión 32,BIRDSTRIKE,231
2024-03-10,61848,Avión 22,HUMO EN MOTOR 2,231
2022-10-07,36045,Avión 2,LATE RELEASE FROM SCH MAINT - TECHNICAL,231
,33604,,-,231
2019-07-19,3230,Avión 31,CONTINUAN CON LOS TRABAJOS PROGRAMADOS,230
2021-07-23,16643,Avión 6,TRU FAIL DURING TAKE OFF ROLL. REJECTED TAKE OFF,230
2020-02-26,7415,Avión 4,933491,230
2020-02-02,7015,Avión 14,928201,229
2022-09-03,34369,Avión 32,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,228
2023-05-14,46397,Avión 21,FUEL UNBALANCE IN FLIGHT,227
2019-06-13,2528,Avión 16,SOLICITAN MTTO A LAS 1234Z,227
,3433,,-,227
2023-11-24,56609,Avión 37,POP UP DE HYD,226
2024-04-11,63411,Avión 28,VÁLVULA DE PASO DE COMBUSTIBLE NO ABRE,226
2024-02-15,60604,Avión 35,WY  LCBSI,226
2022-04-09,27676,Avión 20,RUDDER TRIM FAIL,225
2023-05-12,46301,Avión 38,AC BUS 1 LEAVES,224
2024-05-29,65883,Avión 22,CONTINUAR CON TS POR FALLO REPETITIVO,224
2022-12-14,39220,Avión 38,ENG 2 BLEED OUT IN FLIGHT,223
2022-04-03,27425,Avión 15,FUEL FEED 1 FAULT EICAS MSSG,223
2022-05-31,29793,Avión 23,MLG WHEEL,223
2018-10-27,213,Avión 16,AVION OPERATIVO,222
2022-07-26,32396,Avión 17,1117771,222
,22599,,-,222
,8872,,-,221
2023-11-07,55792,Avión 6,INOP D-AZFA,220
2023-07-06,49117,Avión 21,LLAMADA COMANDANTE POR FEDER LOW PRESS,220
2024-06-04,66228,Avión 25,MAIN BATTERY CHARGE Y TERRAIN FAULT,220
2021-07-18,16462,Avión 2,PEC 1 FAULT,220
2019-05-05,1886,Avión 16,CREW REPORTA MISMA Q EN TFN,219
,3700,,-,219
2022-08-19,33655,Avión 4,AVNX CPM1 LOSS,218
2019-08-19,3938,Avión 31,CREW AVISA A LAS 1251Z,218
2021-04-09,13819,Avión 23,START 2 FAULT DURING START UP,218
,454,,-,218
2023-07-11,49397,Avión 8,RETORNA A LPA POR BLEED LEAK,217
2022-07-22,32157,Avión 14,1118911,217
2022-11-21,38145,Avión 6,SB AUTOLAND,216
2023-01-05,40244,Avión 18,AIL LOCK LIT,215
,12154,,-,215
2022-11-25,38289,Avión 16,ABNORMAL FUEL INDICATION ON LEFT TANK,214
2019-12-16,6194,Avión 13,INCIDENTE TÉCNICO 1820,214
2023-05-27,47044,Avión 35,CARRITO CATERING,212
2022-05-15,29134,Avión 13,ENGINE 2 DOES NOT START,211
2024-03-10,61820,Avión 44,FALLO DE HORIZONTAL STAB,211
2023-09-19,53255,Avión 24,REALIZACIÓN DE BSI  DAÑO GPU,211
2020-01-31,6965,Avión 4,903251 LIMITATION ACC MEL 21.51.01,210
2023-07-21,49957,Avión 15,ENGINE 1 REPLACEMENT,210
2023-10-09,54307,Avión 4,FALLO TRANSPONDER,210
2023-01-05,40247,Avión 6,FUEL FEED 2 FAULT,210
2023-04-03,44328,Avión 10,START ENGINE N1 FAULT NO NH GCU,210
2020-03-01,7471,Avión 18,420701,210
2020-03-01,7465,Avión 8,LATE RELEASE FROM SCH MAINT - TECHNICAL,209
2021-08-17,17734,Avión 24,DOOR GREEN BLOCK IN FLIGHT NOT TOTALLY IN GREEN,208
2023-11-08,55813,Avión 28,EXTINTORES PORTATILES,208
2023-06-23,48413,Avión 25,DU2 FAULT,207
2023-07-25,50153,Avión 13,MOTOR 1 AL LLEGAR AL STAND NO SE ABANDERA LA PALA,206
2022-12-08,38952,Avión 7,SHG CHANEL PEC2,206
2020-11-01,11099,Avión 6,02184 D1,205
2023-05-08,46091,Avión 15,MAINTENANCE REPORT - TECHNICAL,205
2023-10-13,54547,Avión 21,PROBLEMAS CON BLEED 1 Y 2,205
2019-06-02,2366,Avión 18,AC SOLICITA MTTO,204
2019-05-24,2202,Avión 31,AC SOLICITA MTTO,203
2022-10-23,36790,Avión 25,RIGHT ENGINE WITH OIL LEAK,203
2024-05-16,65203,Avión 44,FLIGHT CTRL H.STAB,202
2022-12-01,38586,Avión 16,AFTER REFUELING 400KGS UNBALANCING FUEL STICK INDICATION,201
2023-03-27,43927,Avión 18,CRACK ONE BLADE IN THE RIGHT HAND ENGINE,200
2024-03-30,62783,Avión 37,MOTOR IZQ HIZO STALL TRES  VECES EN APROXIMACION,199
2019-04-08,1421,Avión 2,AC CON LIMITACION MEL 32-31-3,198
2019-04-09,1453,Avión 17,AC INOPERATIVO EN TFN SIN ESTIMADA,198
2019-07-20,3263,Avión 14,CMDTE AVISA DESDE CABECERA A LAS 1515Z,198
2022-11-15,37810,Avión 17,FUEL CONTROL PANEL INDICATOR US,198
2020-07-20,8987,Avión 17,PILOT REPORT - OPERATIONAL,198
2021-12-10,22943,Avión 32,WP DIF DU AGM,198
2023-11-06,55715,Avión 11,PROBLEMA CON MOTOR1,195
2023-02-01,41395,Avión 10,DIFERIDO CADUCADO,194
2019-09-18,4487,Avión 20,ENCUENTRAN SACA ROJA EN LA BODEGA,194
2023-05-09,46157,Avión 22,OVERSPEED,193
2022-07-25,32344,Avión 10,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,192
2023-08-12,51193,Avión 38,PACK2 FAULT Y OLOR A HUMO EN CABINA PASAJERO,191
2024-03-11,61906,Avión 19,PÉRDIDA DE HYD POR UNIÓN DE 2 TUBERÍAS  BOMBA SISTEMA AZUL,191
2023-01-04,40223,Avión 15,WP 123D  BSI ENG2,191
,5604,,-,191
2023-11-23,56556,Avión 13,AC VUELVE A TFN PORQUE EL TREN DE ATERRIZAJE NO SUBE,190
2021-08-22,17857,Avión 10,AUDIO SEL FO FAULT,190
2022-09-08,34596,Avión 11,1119541,190
2023-05-08,46092,Avión 6,OIL LEAK,189
2023-11-04,55631,Avión 21,PROBLEMA CON LOS MANDOS DE VUELO,189
2023-04-03,44281,Avión 17,LC CADUCADA,188
2024-04-11,63387,Avión 22,MASTER WARNING PRESION ACEITE A 60 NUDOS,188
2024-04-12,63452,Avión 1,PILOTO INFORMA DE OSCILACIONES EN ITT DEL MOTOR 1,188
2020-02-24,7387,Avión 12,BIRD STRIKE INSPECTION,187
2019-09-24,4588,Avión 4,LIMITACION MEL 22-18-3 2  AVERIA  FALLO AUTOPILOT,187
2024-06-04,66202,Avión 17,LINTERNA DEL CM1 NO FUNCIONA,187
2022-11-27,38380,Avión 1,PACK 1 ESTÁ US,187
2022-05-01,28565,Avión 7,PEC 1 FAULT BEFORE TAXI,187
2021-07-25,16726,Avión 2,3 PUNTOS,186
2021-08-31,18188,Avión 21,INV 2 FAULT,185
2019-05-03,1850,Avión 22,TRIPULACION SOLICITA QUE EL JT LOS LLAME,185
2019-04-25,1707,Avión 10,AC SOLICITA MTTO DESDE VDE,184
2023-08-20,51638,Avión 12,AFTER LANDING  FUEL CONTROL FAULT ON EICAS,184
2023-05-22,46798,Avión 6,BASE OGMA,184
2023-07-14,49543,Avión 31,OLOR A QUEMADO EN AMBAS CABINAS,184
2019-02-16,666,Avión 16,FUEL LOW PRESS ENG. 1,183
2024-03-27,62628,Avión 18,FUGA DE HIDRÁULICO,183
2024-02-20,60860,Avión 10,REPARACIÓN PERMANENTE DENT,183
2024-01-09,58824,Avión 18,INVERTER FAULT 1,182
2024-02-14,60586,Avión 34,PEC FAULT  LOW PITCH,182
2023-03-04,42748,Avión 15,WP BORESCOPE,182
2023-07-15,49645,Avión 23,ANOTACION DE PARKING BRAKE,181
2023-06-22,48382,Avión 11,INVERTER1 FAULT,181
2022-09-19,35139,Avión 20,LOSS OF TOTAL ELECTRIC SYSTEM ON LANDING,180
2020-11-04,11138,Avión 6,PILOT REPORT - OPERATIONAL,180
2022-09-01,34239,Avión 6,PTV APU FAIL,180
,24740,,-,180
2023-09-04,52450,Avión 23,OPS SOLICITA LLAMADA AL TELEFONO,179
2020-01-31,6968,Avión 6,TICAS FAUL,179
2018-08-10,29,Avión 4,PILOT REPORT - OPERATIONAL - TLB 00809681,178
2021-10-26,20744,Avión 25,TAKE OFF CONFIG WARNING,178
2021-07-09,16089,Avión 28,PILOT REPORT - ENG SHUT DOWN,177
2022-05-25,29520,Avión 1,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,177
,21563,,-,177
2023-07-09,49259,Avión 12,EDP 2,176
2023-11-05,55702,Avión 32,INOP D-AZFA,176
2020-10-06,10624,Avión 31,432791,176
2021-05-21,14667,Avión 25,502301,176
2022-08-21,33727,Avión 8,1137881,176
2024-03-22,62405,Avión 37,SALTA FALLO YAW AUTO TRIM AL INICIAR RETROCESO-M01,175
2023-07-09,49270,Avión 25,TEMPERATURA ALTA DE PANTALLAS,175
2021-09-24,19080,Avión 25,TORQUE ENG1 PROBLEM,175
2021-09-22,18982,Avión 11,ENG START I FAULT,174
2019-03-08,960,Avión 31,EVENT FOR A NETLINE DELAY  CANCELLATION,174
2024-05-25,65654,Avión 1,FUGA DE COMBUSTIBLE,174
2022-10-02,35771,Avión 34,OVERSPEED FLAPS,174
2021-12-22,23488,Avión 32,PROBLEMA REVERSAS,174
,927,,-,174
2021-06-11,15126,Avión 3,ENGINE 2 BLEED LEAK,173
2020-06-14,8464,Avión 7,INCIDENTE TECNICO,173
2021-11-05,21253,Avión 23,TLB 52823 D1,173
2024-02-18,60769,Avión 7,VUELVE A TIERRA POR PROBLEMAS DE PRESURIZACIÓN,173
2022-09-23,35311,Avión 37,BLEED VALVE 1 FAULT,172
2022-11-12,37718,Avión 17,OSCILACIONES EN LA ITT MOTOR 2,172
2023-05-13,46370,Avión 12,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,172
2019-12-25,6363,Avión 15,241,172
2021-01-25,12573,Avión 6,31511,172
2021-07-19,16484,Avión 2,BLEED ENGINE 1 LEAK,171
2020-01-20,6786,Avión 23,395311,171
2022-11-25,38292,Avión 7,DIFFERENCE IN TORQUE,170
2022-02-27,25910,Avión 20,RUDDER TRIM INOPERATIVE.,170
,388,,-,170
2022-07-13,31726,Avión 23,DEFECT DETAILS  TLB 60136 D1,169
2022-09-18,35070,Avión 12,INTERPHONE CALLS BETWEEN CABIN AND PAX CABIN INOPERATIVE,169
2023-09-20,53277,Avión 39,PERDIDA DE ACEITE MOTOR 2,169
2023-04-02,44272,Avión 18,TAKE OFF CONFI,169
2022-08-12,33283,Avión 12,5067432,169
2023-07-15,49639,Avión 16,PROBLEMA CON PROP BRAKE,168
2024-04-04,63025,Avión 44,CONSULTA SOBRE SONIDO DE GOLPE DURANTE PUSHBACK EN MAD,167
2022-02-18,25576,Avión 1,DU4 FAULT,167
2020-01-25,6879,Avión 16,396331,167
2022-11-22,38152,Avión 14,ATPCS,166
2023-08-11,51148,Avión 4,DU HI TEMP,166
2022-05-27,29622,Avión 3,DURING PREFLYHT OBSERVE LEAK IN ENGINE 1,166
2021-08-04,17162,Avión 6,INSPECCION MESILLAS EN VENECIA 1,166
2020-01-10,6639,Avión 4,916851,166
2020-02-23,7360,Avión 4,00933451  LIMITATION 21-51-3,165
2021-08-16,17606,Avión 2,SOBRECALIENTAMIENTO MOTOR,165
2023-01-05,40251,Avión 18,T.O CONFIG WARNING,165
,737,,-,165
2022-11-13,37740,Avión 10,ACW GEN 1 FAULT IN FLIGHT,164
2022-12-17,39427,Avión 13,AIL LOCK LIGHT AT PARKING,164
2023-05-26,47007,Avión 37,CAJA AUDIO 2 CON MUCHO RUIDO,164
2022-08-12,33303,Avión 22,ENG 2 BLEED FAULT,164
2024-05-23,65580,Avión 22,TOFF CONFIG,164
,5590,,-,164
2024-05-20,65398,Avión 18,INDICACION PUERTA TRASERA DE CARGA EMERGENCIA,163
2022-07-11,31630,Avión 7,PEC SGL CHANNEL ENG 1,163
2022-06-16,30435,Avión 28,PILOT REPORT - OPERATIONAL,163
2022-08-17,33566,Avión 7,REFUEL CONTROL PANEL,163
,3218,,-,163
2024-03-01,61387,Avión 8,PÉRDIDA DE ACEITE,162
2023-04-11,44683,Avión 11,WP HLA 1BALTERNADORESFILTER REPLACE,161
2021-11-06,21283,Avión 16,547591,161
2023-01-10,40472,Avión 12,HYD FLUID UNDERNEATH DETAIL ON THE FUSELAGE,160
2024-02-07,60564,Avión 43,INOP OM-FEX,160
2023-06-29,48748,Avión 18,MALA CONFIGURACION AL DESPEGUE,160
2022-08-06,32969,Avión 11,OTHERS  NOT SPECIFIED - OPERATIONAL,160
2022-12-10,39074,Avión 21,CREW QUERY - OPERATIONAL,159
2021-09-26,19158,Avión 14,STICK PUSHER SHAKER FAULT INTERMINENT,159
2022-08-15,33465,Avión 36,612491,159
2022-10-13,36302,Avión 11,AILERON LOCK,158
2019-12-07,6001,Avión 31,AIR TURN BACK - OPERATIONAL,158
2023-07-09,49277,Avión 19,CAMBIO RUEDA MORRO,158
2022-06-20,30644,Avión 25,ENG 1 NO NH DURING START,158
2021-10-13,19999,Avión 2,HIGH TEMPERATURE IN THE CABIN,158
2020-03-05,7527,Avión 18,SPECIAL MAINTENANCE - TECHNICAL,158
2018-11-18,453,Avión 10,EVENT FOR A NETLINE DELAY  CANCELLATION,157
2022-10-22,36734,Avión 24,HYD LEAK,157
2018-12-10,389,Avión 16,INOP  AVERIA FALLO PUESTA EN MARCHA,157
2023-10-21,54955,Avión 22,BOTELLA DE OXIGENO VACIA,156
2022-12-31,40061,Avión 17,GOLPE CATERING,156
2023-08-07,50868,Avión 39,RETORNO A PARKING,156
2024-05-03,64446,Avión 44,RETORNO A PARKING - ENGINE 2 NO DISPATCH,156
2022-12-25,39782,Avión 12,WHEN PARKING BRAKE SET EMER BRK FAULT ON EICAS,156
2022-06-21,30680,Avión 12,ADS 2 HTR FAIL CAUTION MSG,155
2023-03-12,43146,Avión 18,AILERON LOCK,155
2022-03-04,26129,Avión 22,CERTIFICADO DE AERONAVEGABILIDAD CADUCADO,155
2023-06-02,47325,Avión 24,HSTAB FAULT & FLT CONTROL NO DISPATCH,155
2018-09-15,136,Avión 16,288261,155
,10275,,-,155
,21594,,-,155
2022-09-16,34972,Avión 21,FOUND THE MAIN LANDING GEAR WHEEL DAMAGED,154
2022-10-08,36056,Avión 18,AIL LOCK LT ALERT ON EWD WHWN ENTERING RUNMAY,153
2023-01-08,40365,Avión 25,AVNX CPM 2 FAIL,153
2020-01-02,6494,Avión 19,CREW AVISA 1606,153
