Fecha,EVENTO,A/C,ENCABEZADO EVENTO,Minutos
2022-11-09 00:00:00,37591.0,Avión 20,STARTER GENERATOR ENGINE 2 FAULT,264
2018-08-03 00:00:00,17.0,Avión 4,PILOT REPORT-OPERATIONAL TLB 00809541,261
2022-10-23 00:00:00,36806.0,Avión 28,PÉRDIDA DE NITRÓGENO,260
-,16344.0,,-,260
2023-07-17 00:00:00,49735.0,Avión 13,LATERAL DCHO DE AC MANCHADO DE ACEITE Y PARTE BAJA MOTOR,258
2019-07-14 00:00:00,3132.0,Avión 22,CREW SOLICITA MTTO A LAS 1445Z A TRAVES DE AH,257
2022-08-13 00:00:00,33343.0,Avión 7,FINDING NRC TASKCARD 541002-DVI-10010-2 00  ITEM ONE,257
2023-05-13 00:00:00,46379.0,Avión 24,SMOKE DETECTOR,257
-,867.0,,-,257
2022-12-26 00:00:00,39823.0,Avión 2,AIRFRAME FAULT  AUTOPILOT FAULT,256
2024-05-29 00:00:00,65878.0,Avión 39,PENDIENTE DOCUMENTACION ATR,253
2019-08-22 00:00:00,4011.0,Avión 16,SOLICITAN MTTO,253
2019-06-05 00:00:00,2406.0,Avión 4,PENDIENTE CONFIRMAR ESTADO  AVION EN ACE,250
2019-04-08 00:00:00,1420.0,Avión 13,TRABAJOS PROGRAMADOS,250
2019-08-26 00:00:00,4081.0,Avión 23,AVION INOPERATIVO EN TFN,249
2021-07-25 00:00:00,16731.0,Avión 31,LEFT TO LVL ALERT NOT WORKING FUEL,249
2023-10-07 00:00:00,54202.0,Avión 23,AL ENCENDER LES HA DADO VARIOS FALLOS,248
2024-03-16 00:00:00,62116.0,Avión 14,NECESIDAD DE MTTO POR PROBLEMAS CON ALTERNADOR,248
2022-08-13 00:00:00,33352.0,Avión 19,CABIN PAX DOOR TO CARGO BAY DOESNT CLOSE PROPERLY,247
2023-05-30 00:00:00,47190.0,Avión 23,PROPELLER BRAKE,247
2022-09-29 00:00:00,35587.0,Avión 16,HYDRAULIC LOST ON LEFT MAIN LANDING GEAR,245
-,1682.0,,-,245
-,6808.0,,-,244
2023-07-09 00:00:00,49243.0,Avión 8,REPORTAN FALLOS DE MOTOR,242
2022-12-13 00:00:00,39203.0,Avión 32,WEATHER FAIL PREDCT WINDSHEAR FAIL,242
2023-08-24 00:00:00,51833.0,Avión 41,IASC FAIL,241
2024-02-22 00:00:00,60956.0,Avión 25,PEC FAULT,241
2023-02-26 00:00:00,42471.0,Avión 15,MAREP VERBAL REPORT RH NAV LIGHT INOP,240
2021-12-13 00:00:00,23051.0,Avión 6,CAMBIO DE MOTOR,239
2023-08-19 00:00:00,51561.0,Avión 40,OVERHEAT DEL BLEED,239
2022-11-20 00:00:00,38090.0,Avión 23,PASSENGER DOOR LOCKING SYSTEM US,239
2019-05-12 00:00:00,1990.0,Avión 31,AC SOLICITA MMTO EN LPA,238
2023-07-05 00:00:00,49041.0,Avión 18,FALLO GEN2,238
2019-03-02 00:00:00,875.0,Avión 7,SOLICITAN MTTO,238
2020-10-01 00:00:00,10508.0,Avión 2,943861,238
2022-10-13 00:00:00,36303.0,Avión 8,ELEC INV 1 JUST PRIOR TO TAKE OFF,236
2022-09-27 00:00:00,35467.0,Avión 17,MAINTENANCE REPORT - TECHNICAL,236
2022-08-25 00:00:00,33912.0,Avión 15,SCHEDULED MAINTENANCE NOT PERFORMED - TECHNICAL,236
2022-12-22 00:00:00,39675.0,Avión 37,AUTO PRESS FAULT,235
2024-05-10 00:00:00,64855.0,Avión 1,BLEED LEAK MOTOR 1,235
2023-01-30 00:00:00,41318.0,Avión 24,ENG 1 FUEL LO PRESS,235
2021-11-10 00:00:00,21457.0,Avión 7,THE RUDDER IS VERY HARD,234
2023-06-02 00:00:00,47307.0,Avión 8,BOROSCOPE FINDING CRACKS,233
2021-08-01 00:00:00,17015.0,Avión 15,DENT BLADE,233
2021-07-18 00:00:00,16443.0,Avión 23,ENG 1 BLEED LEAK,233
2024-05-29 00:00:00,65855.0,Avión 36,PACK 1 FAULT,233
2023-06-30 00:00:00,48801.0,Avión 13,GOTAS DE ACEITE PARTE SUPERIOR,232
2022-02-25 00:00:00,25837.0,Avión 18,TO CONFIG TEST WARNING,232
2019-08-13 00:00:00,3800.0,Avión 3,AVERIA TARJETA CPM 1 INOP,231
2022-08-22 00:00:00,33781.0,Avión 32,BIRDSTRIKE,231
2024-03-10 00:00:00,61848.0,Avión 22,HUMO EN MOTOR 2,231
2022-10-07 00:00:00,36045.0,Avión 2,LATE RELEASE FROM SCH MAINT - TECHNICAL,231
-,33604.0,,-,231
2019-07-19 00:00:00,3230.0,Avión 31,CONTINUAN CON LOS TRABAJOS PROGRAMADOS,230
2021-07-23 00:00:00,16643.0,Avión 6,TRU FAIL DURING TAKE OFF ROLL. REJECTED TAKE OFF,230
2020-02-26 00:00:00,7415.0,Avión 4,933491,230
2020-02-02 00:00:00,7015.0,Avión 14,928201,229
2022-09-03 00:00:00,34369.0,Avión 32,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,228
2023-05-14 00:00:00,46397.0,Avión 21,FUEL UNBALANCE IN FLIGHT,227
2019-06-13 00:00:00,2528.0,Avión 16,SOLICITAN MTTO A LAS 1234Z,227
-,3433.0,,-,227
2023-11-24 00:00:00,56609.0,Avión 37,POP UP DE HYD,226
2024-04-11 00:00:00,63411.0,Avión 28,VÁLVULA DE PASO DE COMBUSTIBLE NO ABRE,226
2024-02-15 00:00:00,60604.0,Avión 35,WY  LCBSI,226
2022-04-09 00:00:00,27676.0,Avión 20,RUDDER TRIM FAIL,225
2023-05-12 00:00:00,46301.0,Avión 38,AC BUS 1 LEAVES,224
2024-05-29 00:00:00,65883.0,Avión 22,CONTINUAR CON TS POR FALLO REPETITIVO,224
2022-12-14 00:00:00,39220.0,Avión 38,ENG 2 BLEED OUT IN FLIGHT,223
2022-04-03 00:00:00,27425.0,Avión 15,FUEL FEED 1 FAULT EICAS MSSG,223
2022-05-31 00:00:00,29793.0,Avión 23,MLG WHEEL,223
2018-10-27 00:00:00,213.0,Avión 16,AVION OPERATIVO,222
2022-07-26 00:00:00,32396.0,Avión 17,1117771,222
-,22599.0,,-,222
-,8872.0,,-,221
2023-11-07 00:00:00,55792.0,Avión 6,INOP D-AZFA,220
2023-07-06 00:00:00,49117.0,Avión 21,LLAMADA COMANDANTE POR FEDER LOW PRESS,220
2024-06-04 00:00:00,66228.0,Avión 25,MAIN BATTERY CHARGE Y TERRAIN FAULT,220
2021-07-18 00:00:00,16462.0,Avión 2,PEC 1 FAULT,220
2019-05-05 00:00:00,1886.0,Avión 16,CREW REPORTA MISMA Q EN TFN,219
-,3700.0,,-,219
2022-08-19 00:00:00,33655.0,Avión 4,AVNX CPM1 LOSS,218
2019-08-19 00:00:00,3938.0,Avión 31,CREW AVISA A LAS 1251Z,218
2021-04-09 00:00:00,13819.0,Avión 23,START 2 FAULT DURING START UP,218
-,454.0,,-,218
2023-07-11 00:00:00,49397.0,Avión 8,RETORNA A LPA POR BLEED LEAK,217
2022-07-22 00:00:00,32157.0,Avión 14,1118911,217
2022-11-21 00:00:00,38145.0,Avión 6,SB AUTOLAND,216
2023-01-05 00:00:00,40244.0,Avión 18,AIL LOCK LIT,215
-,12154.0,,-,215
2022-11-25 00:00:00,38289.0,Avión 16,ABNORMAL FUEL INDICATION ON LEFT TANK,214
2019-12-16 00:00:00,6194.0,Avión 13,INCIDENTE TÉCNICO 1820,214
2023-05-27 00:00:00,47044.0,Avión 35,CARRITO CATERING,212
2022-05-15 00:00:00,29134.0,Avión 13,ENGINE 2 DOES NOT START,211
2024-03-10 00:00:00,61820.0,Avión 44,FALLO DE HORIZONTAL STAB,211
2023-09-19 00:00:00,53255.0,Avión 24,REALIZACIÓN DE BSI  DAÑO GPU,211
2020-01-31 00:00:00,6965.0,Avión 4,903251 LIMITATION ACC MEL 21.51.01,210
2023-07-21 00:00:00,49957.0,Avión 15,ENGINE 1 REPLACEMENT,210
2023-10-09 00:00:00,54307.0,Avión 4,FALLO TRANSPONDER,210
2023-01-05 00:00:00,40247.0,Avión 6,FUEL FEED 2 FAULT,210
2023-04-03 00:00:00,44328.0,Avión 10,START ENGINE N1 FAULT NO NH GCU,210
2020-03-01 00:00:00,7471.0,Avión 18,420701,210
2020-03-01 00:00:00,7465.0,Avión 8,LATE RELEASE FROM SCH MAINT - TECHNICAL,209
2021-08-17 00:00:00,17734.0,Avión 24,DOOR GREEN BLOCK IN FLIGHT NOT TOTALLY IN GREEN,208
2023-11-08 00:00:00,55813.0,Avión 28,EXTINTORES PORTATILES,208
2023-06-23 00:00:00,48413.0,Avión 25,DU2 FAULT,207
2023-07-25 00:00:00,50153.0,Avión 13,MOTOR 1 AL LLEGAR AL STAND NO SE ABANDERA LA PALA,206
2022-12-08 00:00:00,38952.0,Avión 7,SHG CHANEL PEC2,206
2020-11-01 00:00:00,11099.0,Avión 6,02184 D1,205
2023-05-08 00:00:00,46091.0,Avión 15,MAINTENANCE REPORT - TECHNICAL,205
2023-10-13 00:00:00,54547.0,Avión 21,PROBLEMAS CON BLEED 1 Y 2,205
2019-06-02 00:00:00,2366.0,Avión 18,AC SOLICITA MTTO,204
2019-05-24 00:00:00,2202.0,Avión 31,AC SOLICITA MTTO,203
2022-10-23 00:00:00,36790.0,Avión 25,RIGHT ENGINE WITH OIL LEAK,203
2024-05-16 00:00:00,65203.0,Avión 44,FLIGHT CTRL H.STAB,202
2022-12-01 00:00:00,38586.0,Avión 16,AFTER REFUELING 400KGS UNBALANCING FUEL STICK INDICATION,201
2023-03-27 00:00:00,43927.0,Avión 18,CRACK ONE BLADE IN THE RIGHT HAND ENGINE,200
2024-03-30 00:00:00,62783.0,Avión 37,MOTOR IZQ HIZO STALL TRES  VECES EN APROXIMACION,199
2019-04-08 00:00:00,1421.0,Avión 2,AC CON LIMITACION MEL 32-31-3,198
2019-04-09 00:00:00,1453.0,Avión 17,AC INOPERATIVO EN TFN SIN ESTIMADA,198
2019-07-20 00:00:00,3263.0,Avión 14,CMDTE AVISA DESDE CABECERA A LAS 1515Z,198
2022-11-15 00:00:00,37810.0,Avión 17,FUEL CONTROL PANEL INDICATOR US,198
2020-07-20 00:00:00,8987.0,Avión 17,PILOT REPORT - OPERATIONAL,198
2021-12-10 00:00:00,22943.0,Avión 32,WP DIF DU AGM,198
2023-11-06 00:00:00,55715.0,Avión 11,PROBLEMA CON MOTOR1,195
2023-02-01 00:00:00,41395.0,Avión 10,DIFERIDO CADUCADO,194
2019-09-18 00:00:00,4487.0,Avión 20,ENCUENTRAN SACA ROJA EN LA BODEGA,194
2023-05-09 00:00:00,46157.0,Avión 22,OVERSPEED,193
2022-07-25 00:00:00,32344.0,Avión 10,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,192
2023-08-12 00:00:00,51193.0,Avión 38,PACK2 FAULT Y OLOR A HUMO EN CABINA PASAJERO,191
2024-03-11 00:00:00,61906.0,Avión 19,PÉRDIDA DE HYD POR UNIÓN DE 2 TUBERÍAS  BOMBA SISTEMA AZUL,191
2023-01-04 00:00:00,40223.0,Avión 15,WP 123D  BSI ENG2,191
-,5604.0,,-,191
2023-11-23 00:00:00,56556.0,Avión 13,AC VUELVE A TFN PORQUE EL TREN DE ATERRIZAJE NO SUBE,190
2021-08-22 00:00:00,17857.0,Avión 10,AUDIO SEL FO FAULT,190
2022-09-08 00:00:00,34596.0,Avión 11,1119541,190
2023-05-08 00:00:00,46092.0,Avión 6,OIL LEAK,189
2023-11-04 00:00:00,55631.0,Avión 21,PROBLEMA CON LOS MANDOS DE VUELO,189
2023-04-03 00:00:00,44281.0,Avión 17,LC CADUCADA,188
2024-04-11 00:00:00,63387.0,Avión 22,MASTER WARNING PRESION ACEITE A 60 NUDOS,188
2024-04-12 00:00:00,63452.0,Avión 1,PILOTO INFORMA DE OSCILACIONES EN ITT DEL MOTOR 1,188
2020-02-24 00:00:00,7387.0,Avión 12,BIRD STRIKE INSPECTION,187
2019-09-24 00:00:00,4588.0,Avión 4,LIMITACION MEL 22-18-3 2  AVERIA  FALLO AUTOPILOT,187
2024-06-04 00:00:00,66202.0,Avión 17,LINTERNA DEL CM1 NO FUNCIONA,187
2022-11-27 00:00:00,38380.0,Avión 1,PACK 1 ESTÁ US,187
2022-05-01 00:00:00,28565.0,Avión 7,PEC 1 FAULT BEFORE TAXI,187
2021-07-25 00:00:00,16726.0,Avión 2,3 PUNTOS,186
2021-08-31 00:00:00,18188.0,Avión 21,INV 2 FAULT,185
2019-05-03 00:00:00,1850.0,Avión 22,TRIPULACION SOLICITA QUE EL JT LOS LLAME,185
2019-04-25 00:00:00,1707.0,Avión 10,AC SOLICITA MTTO DESDE VDE,184
2023-08-20 00:00:00,51638.0,Avión 12,AFTER LANDING  FUEL CONTROL FAULT ON EICAS,184
2023-05-22 00:00:00,46798.0,Avión 6,BASE OGMA,184
2023-07-14 00:00:00,49543.0,Avión 31,OLOR A QUEMADO EN AMBAS CABINAS,184
2019-02-16 00:00:00,666.0,Avión 16,FUEL LOW PRESS ENG. 1,183
2024-03-27 00:00:00,62628.0,Avión 18,FUGA DE HIDRÁULICO,183
2024-02-20 00:00:00,60860.0,Avión 10,REPARACIÓN PERMANENTE DENT,183
2024-01-09 00:00:00,58824.0,Avión 18,INVERTER FAULT 1,182
2024-02-14 00:00:00,60586.0,Avión 34,PEC FAULT  LOW PITCH,182
2023-03-04 00:00:00,42748.0,Avión 15,WP BORESCOPE,182
2023-07-15 00:00:00,49645.0,Avión 23,ANOTACION DE PARKING BRAKE,181
2023-06-22 00:00:00,48382.0,Avión 11,INVERTER1 FAULT,181
2022-09-19 00:00:00,35139.0,Avión 20,LOSS OF TOTAL ELECTRIC SYSTEM ON LANDING,180
2020-11-04 00:00:00,11138.0,Avión 6,PILOT REPORT - OPERATIONAL,180
2022-09-01 00:00:00,34239.0,Avión 6,PTV APU FAIL,180
-,24740.0,,-,180
2023-09-04 00:00:00,52450.0,Avión 23,OPS SOLICITA LLAMADA AL TELEFONO,179
2020-01-31 00:00:00,6968.0,Avión 6,TICAS FAUL,179
2018-08-10 00:00:00,29.0,Avión 4,PILOT REPORT - OPERATIONAL - TLB 00809681,178
2021-10-26 00:00:00,20744.0,Avión 25,TAKE OFF CONFIG WARNING,178
2021-07-09 00:00:00,16089.0,Avión 28,PILOT REPORT - ENG SHUT DOWN,177
2022-05-25 00:00:00,29520.0,Avión 1,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,177
-,21563.0,,-,177
2023-07-09 00:00:00,49259.0,Avión 12,EDP 2,176
2023-11-05 00:00:00,55702.0,Avión 32,INOP D-AZFA,176
2020-10-06 00:00:00,10624.0,Avión 31,432791,176
2021-05-21 00:00:00,14667.0,Avión 25,502301,176
2022-08-21 00:00:00,33727.0,Avión 8,1137881,176
2024-03-22 00:00:00,62405.0,Avión 37,SALTA FALLO YAW AUTO TRIM AL INICIAR RETROCESO-M01,175
2023-07-09 00:00:00,49270.0,Avión 25,TEMPERATURA ALTA DE PANTALLAS,175
2021-09-24 00:00:00,19080.0,Avión 25,TORQUE ENG1 PROBLEM,175
2021-09-22 00:00:00,18982.0,Avión 11,ENG START I FAULT,174
2019-03-08 00:00:00,960.0,Avión 31,EVENT FOR A NETLINE DELAY  CANCELLATION,174
2024-05-25 00:00:00,65654.0,Avión 1,FUGA DE COMBUSTIBLE,174
2022-10-02 00:00:00,35771.0,Avión 34,OVERSPEED FLAPS,174
2021-12-22 00:00:00,23488.0,Avión 32,PROBLEMA REVERSAS,174
-,927.0,,-,174
2021-06-11 00:00:00,15126.0,Avión 3,ENGINE 2 BLEED LEAK,173
2020-06-14 00:00:00,8464.0,Avión 7,INCIDENTE TECNICO,173
2021-11-05 00:00:00,21253.0,Avión 23,TLB 52823 D1,173
