ID,Occurred,At,Issuer,A/C,Station,Headline,Flight No,ATA,Advise
12533,2021-01-22,0 days 13:42:00,5452,Avión 7,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,420,25-65,A/C Ready
12536,2021-01-22,0 days 16:31:00,5545,Avión 16,PIQ,PILOT REPORT - OPERATIONAL,,77-00,A/C Ready
12571,2021-01-23,0 days 17:00:00,3459,Avión 5,,NO INFO,NT623,UNK,
12549,2021-01-23,0 days 14:08:00,5452,Avión 17,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,52-31,A/C Ready
12559,2021-01-24,0 days 11:36:00,3459,Avión 17,SMA,CREW QUERY - OPERATIONAL,617,52-31,A/C Ready
12560,2021-01-24,0 days 07:55:00,3459,Avión 18,,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT655,25-65,
12573,2021-01-25,0 days 10:38:00,3459,Avión 6,PMI,03151/1,NT5100,27-50,A/C Ready
12602,2021-01-26,0 days 16:10:00,5545,Avión 19,PIQ,PORTAMANTAS,,UNK,
12596,2021-01-26,0 days 07:00:00,3459,Avión 14,,NO MAINTENANCE ACTION - OPERATIONAL,NT200,24-00,
12608,2021-01-27,0 days 07:45:00,3459,Avión 4,PDQ,NO INFO,205,UNK,
12636,2021-01-29,0 days 06:39:00,5452,Avión 16,PIQ,45925/1,NT606,33-51,A/C Ready
12639,2021-01-29,0 days 09:48:00,5452,Avión 7,PIQ,OTHERS / NOT SPECIFIED - OPERATIONAL,659,00-00,
12695,2021-02-02,0 days 07:03:00,3459,Avión 6,PDQ,503163/1,,27-00,A/C Ready
12738,2021-02-03,0 days 07:10:00,2291,Avión 20,,LATE RELEASE FROM SCH MAINT - TECHNICAL,NT414,05-20,A/C Ready
12746,2021-02-04,0 days 17:04:00,5121,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,24-42,A/C Ready
26296,2021-02-05,0 days 19:00:00,2291,Avión 20,,INCIDENCIA EN VENTANA,,,
12782,2021-02-07,0 days 06:37:00,5121,Avión 21,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT153,25-65,A/C Ready
12780,2021-02-07,0 days 11:45:00,5121,Avión 13,,46088/1,NT501,77-13,A/C Ready
12794,2021-02-08,0 days 07:56:00,5121,Avión 22,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,25-64,A/C Ready
12809,2021-02-08,0 days 18:52:00,3459,Avión 21,PDQ,46114/1,NT366,00-00,A/C Ready
12813,2021-02-08,0 days 19:44:00,3459,Avión 8,PIQ,98558/1,484,05-51,A/C Ready
12795,2021-02-08,0 days 07:47:00,5121,Avión 4,PDQ,0098627/1,NT192,35-31,A/C Ready
12844,2021-02-09,0 days 17:36:00,5121,Avión 16,SMA,OLOR HUMO,NT636,26-15,A/C Ready
12854,2021-02-10,0 days 17:00:00,5121,Avión 23,,CREW QUERY - OPERATIONAL,NT170,72-00,A/C Ready
12849,2021-02-10,0 days 09:45:00,5452,Avión 10,SMA,SCHEDULED MAINTENANCE PERFORMED - TECHNICAL,,25-81,A/C Ready
12860,2021-02-11,0 days 08:25:00,3459,Avión 16,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,504,25-65,
12857,2021-02-11,0 days 08:01:00,3459,Avión 13,PDQ,46099/D1,504,57-42,A/C Ready
12868,2021-02-11,0 days 13:52:00,3459,Avión 23,,46155/1,NT606,34-58,A/C Ready
12890,2021-02-12,0 days 17:41:00,5452,Avión 10,PDQ,OTHERS / NOT SPECIFIED - OPERATIONAL,170,,A/C Ready
12912,2021-02-15,0 days 07:40:00,5452,Avión 14,PDQ,97704/1,NT192,12-12,A/C Ready
12934,2021-02-16,0 days 16:17:00,5121,Avión 10,,LIMITATION 0098671/1,NT471,31-60,A/C Ready
12923,2021-02-16,0 days 08:05:00,5452,Avión 14,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,107,,A/C Ready
12960,2021-02-18,0 days 08:49:00,3459,Avión 13,PIQ,46036/1,NT107,05-51,A/C Ready
12979,2021-02-18,0 days 19:10:00,5480,Avión 16,PIQ,46143/D1.3.4,NT6341,56-11,A/C Ready
12983,2021-02-19,0 days 06:39:00,3459,Avión 2,PIQ,98586/1,452,28-25,
12995,2021-02-20,0 days 15:00:00,5121,Avión 10,TER,0097982/1,NT420,27-11,A/C Ready
13007,2021-02-21,0 days 14:12:00,5479,Avión 17,PIQ,0097690/1,NT662,35-31,A/C Ready
13006,2021-02-21,0 days 10:08:00,5787,Avión 2,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,TN422,52-31,A/C Ready
13024,2021-02-22,0 days 19:08:00,5121,Avión 22,PDQ,47410/1,NT1811,25-00,
13038,2021-02-23,0 days 14:30:00,3459,Avión 19,,PROBLEMA ARRANQUE,NT511,80-00,
13034,2021-02-23,0 days 18:10:00,3459,Avión 20,PDQ,46223/1,NT366,34-00,A/C Ready
13061,2021-02-25,0 days 06:43:00,5121,Avión 20,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,34-00,A/C Ready
13064,2021-02-25,0 days 08:21:00,5121,Avión 1,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,24-66,A/C Ready
13083,2021-02-26,0 days 09:07:00,5121,Avión 2,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT607,52-31,A/C Ready
13131,2021-02-28,0 days 14:50:00,5480,Avión 4,PIQ,PROBLEMA PANEL COMBUSTIBLE,NT631,28-25,
13130,2021-02-28,0 days 14:36:00,5480,Avión 21,PDQ,47735/D1,NT158,34-58,A/C Ready
13160,2021-03-02,0 days 07:08:00,3459,Avión 10,,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,605,25-65,
13182,2021-03-03,0 days 15:38:00,5787,Avión 3,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,38-32,A/C Ready
13203,2021-03-04,0 days 18:41:00,5787,Avión 2,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT228,28-25,
13228,2021-03-05,0 days 17:38:00,3459,Avión 7,PDQ,97916/1,NT170,73-35,A/C Ready
13224,2021-03-05,0 days 15:25:00,3459,Avión 5,PIQ,48026/1,NT135,72-00,A/C Ready
13253,2021-03-07,0 days 16:44:00,5545,Avión 17,PIQ,0098365/1,NT471,21-23,A/C Ready
13247,2021-03-07,0 days 07:22:00,5121,Avión 5,,48028/1,NT106,72-00,A/C Ready
13294,2021-03-10,0 days 13:59:00,3459,Avión 12,PIQ,01662,NT5861,73-21,A/C Ready
13332,2021-03-12,0 days 15:05:00,3459,Avión 9,PIQ,47807/1,650,61-21,A/C Ready
13336,2021-03-12,0 days 15:43:00,3459,Avión 2,,99558/1,NT644,28-25,A/C Ready
13346,2021-03-13,0 days 07:58:00,5121,Avión 18,PDQ,47908/1,NT128,32-11,A/C Ready
13348,2021-03-13,0 days 10:50:00,5121,Avión 3,,LATE RELEASE FROM SCH MAINT - TECHNICAL,NT212,05-20,A/C Ready
13415,2021-03-17,0 days 17:40:00,5479,Avión 1,,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,12-37,A/C Ready
13406,2021-03-17,0 days 06:45:00,3459,Avión 10,PIQ,98935/1,NT485,29-00,A/C Ready
13420,2021-03-18,0 days 08:48:00,3459,Avión 5,,48049/1,NT102,52-00,A/C Ready
13449,2021-03-20,0 days 08:37:00,5121,Avión 17,PDQ,0098965/1,NT102,25-60,A/C Ready
13469,2021-03-21,0 days 07:05:00,5121,Avión 22,PDQ,47835/1,NT537,27-12,A/C Ready
13474,2021-03-21,0 days 17:02:00,5479,Avión 19,,99659/D1,NT135,22-18,A/C Ready
13481,2021-03-22,0 days 07:30:00,5121,Avión 15,PDQ,01680/D1,NT106,28-21,A/C Ready
13497,2021-03-22,0 days 14:36:00,5479,Avión 2,PDQ,99573/D1,NT156,22-18,A/C Ready
13551,2021-03-25,0 days 14:36:00,5479,Avión 4,PDQ,CREW QUERY - OPERATIONAL,,25-14,A/C Ready
13552,2021-03-25,0 days 08:15:00,3459,Avión 4,,FALLO PUESTA EN MARCHA,NT501,80-00,
13559,2021-03-25,0 days 16:48:00,5479,Avión 5,FNC,46239/D1,NT912,61-21,A/C Ready
13578,2021-03-26,0 days 16:38:00,5480,Avión 23,PIQ,PILOT REPORT - OPERATIONAL,NT623,33-51,A/C Ready
13573,2021-03-26,0 days 11:37:00,3459,Avión 19,,99670/1,NT537,52-11,
13594,2021-03-27,0 days 13:01:00,3459,Avión 21,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,134,25-21,
13605,2021-03-28,0 days 05:48:00,3459,Avión 20,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,414,25-65,
13607,2021-03-28,0 days 10:14:00,3459,Avión 14,,98811/D1,,32-42,A/C Ready
13610,2021-03-28,0 days 12:20:00,3459,Avión 17,FLW,BIRDSTRIKE - ENVIRONMENTAL,657,05-51,A/C Ready
13611,2021-03-28,0 days 12:00:00,3459,Avión 24,,EVENT FOR A NETLINE DELAY / CANCELLATION,NT5430,80-00,A/C Ready
13662,2021-03-30,0 days 15:41:00,5545,Avión 1,PIQ,0099024/1,NT664,25-45,A/C Ready
13676,2021-03-31,0 days 15:14:00,5121,Avión 10,PIQ,0098838/1,NT471,05-51,A/C Ready
13680,2021-03-31,0 days 16:12:00,5121,Avión 1,PDQ,98877/D1,NT166,24-32,A/C Ready
13679,2021-03-31,0 days 15:41:00,5121,Avión 25,GRW,CREW QUERY - OPERATIONAL,NT3591,24-00,A/C Ready
13704,2021-04-02,0 days 13:04:00,3459,Avión 10,PIQ,NO MAINTENANCE ACTION - OPERATIONAL,454,UNK,
13699,2021-04-02,0 days 08:24:00,3459,Avión 26,PIQ,617355/1,PM418,34-58,A/C Ready
13703,2021-04-02,0 days 12:52:00,3459,Avión 10,HOR,BIRDSTRIKE,455,05-51,A/C Ready
13711,2021-04-03,0 days 09:51:00,3459,Avión 25,PDQ,DC BUS 1 FAULT,NT3051,24-00,A/C Ready
13728,2021-04-04,0 days 06:00:00,5121,Avión 4,PDQ,START FAULT ON BOTH ENGINES,NT5211,72-00,A/C Ready
13747,2021-04-05,0 days 06:58:00,5121,Avión 15,PDQ,BASE WORKPACKAGE NEZ/L-080321-2,NT5431,05-20,A/C Ready
13752,2021-04-05,0 days 09:54:00,5121,Avión 25,,47693/1,NT156,26-14,A/C Ready
13776,2021-04-06,0 days 13:26:00,5479,Avión 19,,SVCE DOOR UNLK,NT663,52-42,A/C Ready
13780,2021-04-07,0 days 06:21:00,5480,Avión 23,FNC,BPCU FAULT,NT930,24-46,A/C Ready
13784,2021-04-07,0 days 07:38:00,5480,Avión 9,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT102,00-00,
13805,2021-04-08,0 days 05:31:00,3459,Avión 17,PDQ,HYDRAULIC PRESSURE CHECK,NT154,12-14,A/C Ready
13819,2021-04-09,0 days 08:00:00,3459,Avión 23,SMA,START 2 FAULT DURING START UP,NT309,24-32,A/C Ready
13823,2021-04-09,0 days 13:05:00,3459,Avión 4,PIQ,MAIN BAT FAULT,NT470R,24-31,A/C Ready
13826,2021-04-09,0 days 14:15:00,5479,Avión 18,,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,,00-00,
13815,2021-04-09,0 days 06:48:00,3459,Avión 27,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,PM412,26-24,
13830,2021-04-09,0 days 15:45:00,5479,Avión 20,PIQ,BIRDSTRIKE - ENVIRONMENTAL,NT167,05-50,A/C Ready
13862,2021-04-11,0 days 18:30:00,5787,Avión 28,PIQ,NO MAINTENANCE ACTION - OPERATIONAL,NT643,UNK,
13909,2021-04-12,0 days 17:00:00,5787,Avión 2,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,NT125,80-00,A/C Ready
13875,2021-04-12,0 days 06:00:00,3459,Avión 12,,CREW QUERY - OPERATIONAL,NT153,80-00,
13878,2021-04-12,0 days 18:26:00,5787,Avión 19,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,UNK,
13884,2021-04-13,0 days 00:22:00,5545,Avión 29,MAD,613552/1,PM5001,30-31,A/C Ready
13893,2021-04-13,0 days 14:20:00,5787,Avión 7,PDQ,OXYGEN MASK FO DOESN´T WORK,NT513,23-51,A/C Ready
13910,2021-04-14,0 days 16:29:00,5121,Avión 19,PIQ,0100406/1,NT169,61-21,A/C Ready
13966,2021-04-16,0 days 13:35:00,3459,Avión 19,,NO MAINTENANCE ACTION - OPERATIONAL,NT663,23-43,
13990,2021-04-18,0 days 15:34:00,3459,Avión 19,,CREW QUERY - OPERATIONAL,NT169,00-00,A/C Ready
14012,2021-04-19,0 days 06:00:00,2291,Avión 4,,GPU FAIL,NT500,24-40,A/C Ready
14016,2021-04-20,0 days 11:19:00,5121,Avión 12,RMU,SCREW STUCK ON NOSE WHEEL,,32-49,A/C Ready
14026,2021-04-20,0 days 20:55:00,3459,Avión 24,PDQ,BLEED 2 FAIL,NT5601,36-00,A/C Ready
14019,2021-04-20,0 days 16:33:00,3459,Avión 25,FLW,INV 1 FAULT,NT366R,24-21,A/C Ready
14052,2021-04-21,0 days 15:00:00,2291,Avión 1,SMA,STRETCHER DISMANTLING,NT631,25-81,A/C Ready
14058,2021-04-22,0 days 13:35:00,5480,Avión 8,PDQ,97667/D1,,35-31,A/C Ready
14077,2021-04-23,0 days 15:19:00,5480,Avión 23,PIQ,46825/D1,NT421,25-21,A/C Ready
14075,2021-04-23,0 days 13:12:00,5121,Avión 14,PDQ,FAP PROBLEM,NT517,31-17,A/C Ready
14074,2021-04-23,0 days 13:08:00,5121,Avión 16,PDQ,47637/D1,NT147,24-32,A/C Ready
14103,2021-04-25,0 days 06:56:00,5812,Avión 10,PDQ,ENG 2 STARTING FAIL,,24-32,A/C Ready
14107,2021-04-25,0 days 13:07:00,5812,Avión 28,PIQ,PEC FAULT DURING START ENGINE 1,NT674,61-21,A/C Ready
14133,2021-04-26,0 days 14:36:00,5121,Avión 20,PDQ,HYDRAULIC LEAK ON MLG,,32-42,A/C Ready
14135,2021-04-26,0 days 17:19:00,5121,Avión 3,PDQ,WHEEL CHANGE,,12-37,A/C Ready
14159,2021-04-28,0 days 08:50:00,3459,Avión 2,PIQ,DOOR ADJUSTMENT FOR OPERATION WITH HUM,659,52-11,
14160,2021-04-28,0 days 09:05:00,5812,Avión 8,PIQ,0099233/1,NT104,05-51,
14179,2021-04-29,0 days 11:19:00,3444,Avión 17,PIQ,0099762-1,NT623,23-43,
14217,2021-05-01,0 days 07:30:00,3459,Avión 15,,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT5600,12-11,
14221,2021-05-01,0 days 14:48:00,5479,Avión 9,PDQ,CREW QUERY - OPERATIONAL,,12-11,
14239,2021-05-02,0 days 12:49:00,5812,Avión 30,PIQ,618648/1,PM546,51-20,A/C Ready
14269,2021-05-03,0 days 18:45:00,5121,Avión 5,PDQ,46797/1,NT186,25-21,A/C Ready
14289,2021-05-04,0 days 13:17:00,5812,Avión 7,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,25-65,
14279,2021-05-04,0 days 08:41:00,5812,Avión 23,,LIMITATION 50370/D1,NT102,25-21,A/C Ready
14303,2021-05-05,0 days 06:54:00,5812,Avión 28,PDQ,99309/D1,,31-19,A/C Ready
14318,2021-05-06,0 days 06:29:00,5479,Avión 14,PIQ,99267/D1,NT414R,11-32,A/C Ready
14356,2021-05-07,0 days 18:12:00,5121,Avión 14,PIQ,99271/1,NT637,35-31,A/C Ready
14361,2021-05-08,0 days 05:45:00,5479,Avión 10,PIQ,CREW QUERY - OPERATIONAL,,34-12,A/C Ready
14364,2021-05-08,0 days 07:33:00,5479,Avión 4,PDQ,100004/D1,NT102,36-11,A/C Ready
14388,2021-05-09,0 days 14:33:00,5545,Avión 21,PDQ,50564/1,NT160,61-51,A/C Ready
14392,2021-05-09,0 days 15:50:00,3459,Avión 2,,NO INFO,NT474,UNK,
14384,2021-05-09,0 days 13:39:00,5545,Avión 31,PIQ,50526/1,NT166,34-55,A/C Ready
14394,2021-05-10,0 days 06:06:00,5812,Avión 16,PIQ,46766/1,NT605,33-50,A/C Ready
14423,2021-05-11,0 days 07:01:00,5812,Avión 25,PDQ,50702/1,NT503,79-00,A/C Ready
14422,2021-05-11,0 days 07:52:00,5812,Avión 19,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,23-00,
14448,2021-05-12,0 days 13:22:00,5812,Avión 24,PDQ,018311,,36-14-00,A/C Ready
14465,2021-05-13,0 days 13:37:00,5480,Avión 7,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT631,35-31,
14468,2021-05-13,0 days 16:58:00,5480,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT173,25-65,
14471,2021-05-13,0 days 17:05:00,5480,Avión 20,GRW,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT652,05-51,
14482,2021-05-14,0 days 11:49:00,5787,Avión 31,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT145,28-25,A/C Ready
14491,2021-05-14,0 days 16:43:00,5480,Avión 17,PDQ,99194/D1,,61-11,A/C Ready
14473,2021-05-14,0 days 06:04:00,5787,Avión 7,PDQ,99348/1,,80-11,A/C Ready
14483,2021-05-14,0 days 12:35:00,5787,Avión 25,PDQ,50711/1,,79-00,A/C Ready
14489,2021-05-14,0 days 14:46:00,5480,Avión 2,PIQ,100091/D1,NT135,52-11,A/C Ready
14506,2021-05-15,0 days 10:11:00,5456,Avión 24,PDQ,01838/1,NT5601,27-00,A/C Ready
14537,2021-05-16,0 days 17:01:00,5545,Avión 2,PIQ,01000941,NT175,52-31,
14561,2021-05-17,0 days 18:12:00,5545,Avión 5,PDQ,50648/1,NT312,23-51,A/C Ready
14550,2021-05-17,0 days 07:37:00,5812,Avión 11,SMA,CREW QUERY - OPERATIONAL,,UNK,
14547,2021-05-17,0 days 06:08:00,5812,Avión 12,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,,73-00,
14569,2021-05-18,0 days 07:29:00,5812,Avión 14,HOR,5999181,453,27-70,A/C Ready
14584,2021-05-18,0 days 14:40:00,5480,Avión 16,PDQ,50160/D1,NT511,33-51,A/C Ready
14602,2021-05-19,0 days 11:10:00,3459,Avión 6,,02738-01,,25-25-00,A/C Ready
14601,2021-05-19,0 days 10:14:00,3459,Avión 24,VGO,PILOT REPORT - OPERATIONAL,5230,27-50-00,A/C Ready
14611,2021-05-19,0 days 14:26:00,5480,Avión 24,PDQ,01847-01,,27-51,A/C Ready
14640,2021-05-20,0 days 16:59:00,5480,Avión 25,PIQ,50230/1,NT167,73-23,A/C Ready
14623,2021-05-20,0 days 06:43:00,3459,Avión 12,PDQ,01765-01,,73-00,A/C Ready
14666,2021-05-21,0 days 12:13:00,3444,Avión 16,HOR,50167/1,NT516,72-00,A/C Ready
14649,2021-05-21,0 days 06:51:00,5812,Avión 10,PDQ,99965/D1,,21-31,A/C Ready
14667,2021-05-21,0 days 13:19:00,3444,Avión 25,PIQ,50230/1,NT167,73-23,A/C Ready
14686,2021-05-21,0 days 19:37:00,5480,Avión 27,PDQ,INOPERATIVE SCHEDULED MAINTENANCE,,05-20,
14653,2021-05-21,0 days 06:48:00,5812,Avión 11,PDQ,100061/D1,NT236,10-20,A/C Ready
14656,2021-05-21,0 days 07:28:00,5479,Avión 31,,50403/D1,NT102,28-21,
14674,2021-05-22,0 days 08:18:00,5479,Avión 5,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,,34-00,
14718,2021-05-22,0 days 06:00:00,2291,Avión 5,,EVENT FOR A NETLINE DELAY / CANCELLATION,NT500,UNK,
14684,2021-05-22,0 days 16:59:00,5480,Avión 19,PDQ,99215/D1,NT173,52-11,A/C Ready
14698,2021-05-23,0 days 13:37:00,5480,Avión 20,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT365,35-31,A/C Ready
14702,2021-05-23,0 days 14:15:00,5480,Avión 9,PIQ,CARGO DOOR U/S,NT633,52-31,A/C Ready
14706,2021-05-23,0 days 15:44:00,5480,Avión 28,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT673,52-11,
14737,2021-05-24,0 days 18:21:00,5479,Avión 3,PIQ,FMS 2 FAULT,NT475,34-61,A/C Ready
14714,2021-05-24,0 days 06:51:00,5812,Avión 2,PDQ,OXYGEN MAIN SUPPLY BELOW 500 PSI.,,35-11,A/C Ready
14730,2021-05-24,0 days 14:12:00,5479,Avión 24,,COCKPIT DOOR  CONTROL DOES NOT WORK,NT5951,52-51,A/C Ready
26298,2021-05-24,0 days 07:15:00,2291,Avión 1,,ANOTACIONES PTV,,,
14750,2021-05-25,0 days 06:37:00,5812,Avión 13,FNC,GPS PROBLEM,,34-00,
14752,2021-05-25,0 days 08:13:00,5812,Avión 17,PIQ,99819/1,NT453,24-31,A/C Ready
14760,2021-05-25,0 days 14:25:00,5545,Avión 28,PDQ,0101822/1,NT644,29-00,A/C Ready
14781,2021-05-27,0 days 06:23:00,5812,Avión 7,,ENGINE START PROBLEM,NT318,24-46,A/C Ready
14785,2021-05-27,0 days 11:14:00,5812,Avión 9,PDQ,HYD LOW PRESSURE,NT156,29-00,A/C Ready
14782,2021-05-27,0 days 06:29:00,5812,Avión 11,PIQ,AHRS DISAGREMENT,NT471,34-25,A/C Ready
14788,2021-05-27,0 days 13:04:00,3459,Avión 5,HOR,ALTITUDE SELECTOR,517,34-00,A/C Ready
14810,2021-05-28,0 days 15:41:00,5787,Avión 17,,AHRS DISAGREMENT,NT166,34-20,A/C Ready
14811,2021-05-28,0 days 17:17:00,5787,Avión 25,PIQ,CARGO DOOR CLOSING PROBLEM,NT637,52-31,A/C Ready
14803,2021-05-28,0 days 05:45:00,5812,Avión 11,PDQ,O2 BOTTLE EXP DATE UNREADABLE,NT107,35-31,
14814,2021-05-28,0 days 20:09:00,5787,Avión 28,PDQ,LIGHTS,NT204,20-45,A/C Ready
14827,2021-05-29,0 days 13:08:00,5479,Avión 1,PIQ,NLG SHOCJ ABSORBER TOO LOW,NT656,12-14,A/C Ready
14849,2021-05-30,0 days 17:39:00,5545,Avión 22,PDQ,AILERON TRIMS WORKS FROM TIME TO TIME,,27-12,A/C Ready
14846,2021-05-30,0 days 14:07:00,5545,Avión 2,PDQ,PILOT REPORT - OPERATIONAL,,31-61,
14844,2021-05-30,0 days 13:11:00,5545,Avión 17,PDQ,O2 BOTTLE LATCH BROKEN,NT120,35-00,
14841,2021-05-30,0 days 06:31:00,5479,Avión 1,PIQ,AUTOPRESS TEST INOP,NT655,21-31,A/C Ready
14864,2021-05-31,0 days 13:25:00,5812,Avión 6,PDQ,04715/D1,,78-30,A/C Ready
14877,2021-05-31,0 days 16:20:00,2291,Avión 2,,CARGO DOOR CLOSING PROBLEMS,NT224,52-31,
14888,2021-06-01,0 days 15:49:00,5787,Avión 5,PDQ,TRASPORTIN TCP2 NO RECOGE,NT224,25-21,
14902,2021-06-02,0 days 07:18:00,5812,Avión 11,,STBY PITOT-STAT HTG FAILURE,NT604,30-30,A/C Ready
14947,2021-06-03,0 days 14:48:00,3444,Avión 5,PDQ,TRASPORTIN TCP2 NO RECOGE,NT207,25-21,A/C Ready
