ID,Occurred,At,AC,Station,Headline,FlightNo,ATA,Minutos
12960,2021-02-18,08:49:00,Avión 13,PIQ,46036/1,NT107,05-51,35.0
12979,2021-02-18,19:10:00,Avión 16,PIQ,46143/D1.3.4,NT6341,56-11,89.0
12983,2021-02-19,06:39:00,Avión 2,PIQ,98586/1,452,28-25,6.0
12995,2021-02-20,15:00:00,Avión 10,TER,0097982/1,NT420,27-11,38.0
13006,2021-02-21,10:08:00,Avión 2,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,TN422,52-31,3.0
13007,2021-02-21,14:12:00,Avión 17,PIQ,0097690/1,NT662,35-31,2.0
13024,2021-02-22,19:08:00,Avión 22,PDQ,47410/1,NT1811,25-00,11.0
13034,2021-02-23,18:10:00,Avión 20,PDQ,46223/1,NT366,34-00,10.0
13038,2021-02-23,14:30:00,Avión 19,nan,PROBLEMA ARRANQUE,NT511,80-00,3.0
13061,2021-02-25,06:43:00,Avión 20,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,34-00,5.0
13064,2021-02-25,08:21:00,Avión 1,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,24-66,15.0
13083,2021-02-26,09:07:00,Avión 2,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT607,52-31,4.0
13130,2021-02-28,14:36:00,Avión 21,PDQ,47735/D1,NT158,34-58,10.0
13131,2021-02-28,14:50:00,Avión 4,PIQ,PROBLEMA PANEL COMBUSTIBLE,NT631,28-25,15.0
13160,2021-03-02,07:08:00,Avión 10,nan,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,605,25-65,2.0
13182,2021-03-03,15:38:00,Avión 3,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,38-32,4.0
13203,2021-03-04,18:41:00,Avión 2,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT228,28-25,19.0
13224,2021-03-05,15:25:00,Avión 5,PIQ,48026/1,NT135,72-00,46.0
13228,2021-03-05,17:38:00,Avión 7,PDQ,97916/1,NT170,73-35,7.0
13247,2021-03-07,07:22:00,Avión 5,nan,48028/1,NT106,72-00,106.0
13253,2021-03-07,16:44:00,Avión 17,PIQ,0098365/1,NT471,21-23,99.0
13294,2021-03-10,13:59:00,Avión 12,PIQ,01662,NT5861,73-21,75.0
13332,2021-03-12,15:05:00,Avión 9,PIQ,47807/1,650,61-21,99.0
13336,2021-03-12,15:43:00,Avión 2,nan,99558/1,NT644,28-25,60.0
13346,2021-03-13,07:58:00,Avión 18,PDQ,47908/1,NT128,32-11,15.0
13348,2021-03-13,10:50:00,Avión 3,nan,LATE RELEASE FROM SCH MAINT - TECHNICAL,NT212,05-20,3.0
13406,2021-03-17,06:45:00,Avión 10,PIQ,98935/1,NT485,29-00,12.0
13415,2021-03-17,17:40:00,Avión 1,nan,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,12-37,18.0
13420,2021-03-18,08:48:00,Avión 5,nan,48049/1,NT102,52-00,45.0
13449,2021-03-20,08:37:00,Avión 17,PDQ,0098965/1,NT102,25-60,4.0
13469,2021-03-21,07:05:00,Avión 22,PDQ,47835/1,NT537,27-12,10.0
13474,2021-03-21,17:02:00,Avión 19,nan,99659/D1,NT135,22-18,13.0
13481,2021-03-22,07:30:00,Avión 15,PDQ,01680/D1,NT106,28-21,5.0
13497,2021-03-22,14:36:00,Avión 2,PDQ,99573/D1,NT156,22-18,16.0
13551,2021-03-25,14:36:00,Avión 4,PDQ,CREW QUERY - OPERATIONAL,nan,25-14,5.0
13552,2021-03-25,08:15:00,Avión 4,nan,FALLO PUESTA EN MARCHA,NT501,80-00,5.0
13559,2021-03-25,16:48:00,Avión 5,FNC,46239/D1,NT912,61-21,15.0
13573,2021-03-26,11:37:00,Avión 19,nan,99670/1,NT537,52-11,38.0
13578,2021-03-26,16:38:00,Avión 23,PIQ,PILOT REPORT - OPERATIONAL,NT623,33-51,25.0
13594,2021-03-27,13:01:00,Avión 21,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,134,25-21,14.0
13605,2021-03-28,05:48:00,Avión 20,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,414,25-65,15.0
13607,2021-03-28,10:14:00,Avión 14,nan,98811/D1,nan,32-42,12.0
13610,2021-03-28,12:20:00,Avión 17,FLW,BIRDSTRIKE - ENVIRONMENTAL,657,05-51,30.0
13611,2021-03-28,12:00:00,Avión 24,nan,EVENT FOR A NETLINE DELAY / CANCELLATION,NT5430,80-00,3.0
13662,2021-03-30,15:41:00,Avión 1,PIQ,0099024/1,NT664,25-45,19.0
13676,2021-03-31,15:14:00,Avión 10,PIQ,0098838/1,NT471,05-51,9.0
13679,2021-03-31,15:41:00,Avión 25,GRW,CREW QUERY - OPERATIONAL,NT3591,24-00,33.0
13680,2021-03-31,16:12:00,Avión 1,PDQ,98877/D1,NT166,24-32,57.0
13699,2021-04-02,08:24:00,Avión 26,PIQ,617355/1,PM418,34-58,85.0
13703,2021-04-02,12:52:00,Avión 10,HOR,BIRDSTRIKE,455,05-51,147.0
13704,2021-04-02,13:04:00,Avión 10,PIQ,NO MAINTENANCE ACTION - OPERATIONAL,454,UNK,7.0
13711,2021-04-03,09:51:00,Avión 25,PDQ,DC BUS 1 FAULT,NT3051,24-00,24.0
13728,2021-04-04,06:00:00,Avión 4,PDQ,START FAULT ON BOTH ENGINES,NT5211,72-00,15.0
13747,2021-04-05,06:58:00,Avión 15,PDQ,BASE WORKPACKAGE NEZ/L-080321-2,NT5431,05-20,48.0
13752,2021-04-05,09:54:00,Avión 25,nan,47693/1,NT156,26-14,5.0
13776,2021-04-06,13:26:00,Avión 19,nan,SVCE DOOR UNLK,NT663,52-42,13.0
13780,2021-04-07,06:21:00,Avión 23,FNC,BPCU FAULT,NT930,24-46,25.0
13784,2021-04-07,07:38:00,Avión 9,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT102,00-00,4.0
13805,2021-04-08,05:31:00,Avión 17,PDQ,HYDRAULIC PRESSURE CHECK,NT154,12-14,18.0
13815,2021-04-09,06:48:00,Avión 27,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,PM412,26-24,4.0
13819,2021-04-09,08:00:00,Avión 23,SMA,START 2 FAULT DURING START UP,NT309,24-32,218.0
13823,2021-04-09,13:05:00,Avión 4,PIQ,MAIN BAT FAULT,NT470R,24-31,39.0
13826,2021-04-09,14:15:00,Avión 18,nan,AIRCRAFT DOCUMENTATION PROBLEM - OPERATIONAL,nan,00-00,3.0
13830,2021-04-09,15:45:00,Avión 20,PIQ,BIRDSTRIKE - ENVIRONMENTAL,NT167,05-50,10.0
13862,2021-04-11,18:30:00,Avión 28,PIQ,NO MAINTENANCE ACTION - OPERATIONAL,NT643,UNK,8.0
13875,2021-04-12,06:00:00,Avión 12,nan,CREW QUERY - OPERATIONAL,NT153,80-00,7.0
13878,2021-04-12,18:26:00,Avión 19,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,UNK,7.0
13884,2021-04-13,00:22:00,Avión 29,MAD,613552/1,PM5001,30-31,146.0
13893,2021-04-13,14:20:00,Avión 7,PDQ,OXYGEN MASK FO DOESN´T WORK,NT513,23-51,20.0
13909,2021-04-12,17:00:00,Avión 2,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,NT125,80-00,9.0
13910,2021-04-14,16:29:00,Avión 19,PIQ,0100406/1,NT169,61-21,3.0
13966,2021-04-16,13:35:00,Avión 19,nan,NO MAINTENANCE ACTION - OPERATIONAL,NT663,23-43,10.0
13990,2021-04-18,15:34:00,Avión 19,nan,CREW QUERY - OPERATIONAL,NT169,00-00,4.0
14012,2021-04-19,06:00:00,Avión 4,nan,GPU FAIL,NT500,24-40,13.0
14016,2021-04-20,11:19:00,Avión 12,RMU,SCREW STUCK ON NOSE WHEEL,nan,32-49,302.0
14019,2021-04-20,16:33:00,Avión 25,FLW,INV 1 FAULT,NT366R,24-21,17.0
14026,2021-04-20,20:55:00,Avión 24,PDQ,BLEED 2 FAIL,NT5601,36-00,13.0
14052,2021-04-21,15:00:00,Avión 1,SMA,STRETCHER DISMANTLING,NT631,25-81,26.0
14058,2021-04-22,13:35:00,Avión 8,PDQ,97667/D1,nan,35-31,7.0
14074,2021-04-23,13:08:00,Avión 16,PDQ,47637/D1,NT147,24-32,12.0
14075,2021-04-23,13:12:00,Avión 14,PDQ,FAP PROBLEM,NT517,31-17,31.0
14077,2021-04-23,15:19:00,Avión 23,PIQ,46825/D1,NT421,25-21,7.0
14103,2021-04-25,06:56:00,Avión 10,PDQ,ENG 2 STARTING FAIL,nan,24-32,54.0
14107,2021-04-25,13:07:00,Avión 28,PIQ,PEC FAULT DURING START ENGINE 1,NT674,61-21,40.0
14133,2021-04-26,14:36:00,Avión 20,PDQ,HYDRAULIC LEAK ON MLG,nan,32-42,16.0
14135,2021-04-26,17:19:00,Avión 3,PDQ,WHEEL CHANGE,nan,12-37,32.0
14159,2021-04-28,08:50:00,Avión 2,PIQ,DOOR ADJUSTMENT FOR OPERATION WITH HUM,659,52-11,23.0
14160,2021-04-28,09:05:00,Avión 8,PIQ,0099233/1,NT104,05-51,6.0
14179,2021-04-29,11:19:00,Avión 17,PIQ,0099762-1,NT623,23-43,4.0
14217,2021-05-01,07:30:00,Avión 15,nan,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT5600,12-11,4.0
14221,2021-05-01,14:48:00,Avión 9,PDQ,CREW QUERY - OPERATIONAL,nan,12-11,4.0
14239,2021-05-02,12:49:00,Avión 30,PIQ,618648/1,PM546,51-20,30.0
14269,2021-05-03,18:45:00,Avión 5,PDQ,46797/1,NT186,25-21,10.0
14279,2021-05-04,08:41:00,Avión 23,nan,LIMITATION 50370/D1,NT102,25-21,10.0
14289,2021-05-04,13:17:00,Avión 7,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,25-65,3.0
14303,2021-05-05,06:54:00,Avión 28,PDQ,99309/D1,nan,31-19,0.0
14318,2021-05-06,06:29:00,Avión 14,PIQ,99267/D1,NT414R,11-32,73.0
14356,2021-05-07,18:12:00,Avión 14,PIQ,99271/1,NT637,35-31,86.0
14361,2021-05-08,05:45:00,Avión 10,PIQ,CREW QUERY - OPERATIONAL,nan,34-12,3.0
14364,2021-05-08,07:33:00,Avión 4,PDQ,100004/D1,NT102,36-11,23.0
14384,2021-05-09,13:39:00,Avión 31,PIQ,50526/1,NT166,34-55,29.0
14388,2021-05-09,14:33:00,Avión 21,PDQ,50564/1,NT160,61-51,8.0
14392,2021-05-09,15:50:00,Avión 2,nan,NO INFO,NT474,UNK,7.0
14394,2021-05-10,06:06:00,Avión 16,PIQ,46766/1,NT605,33-50,9.0
14422,2021-05-11,07:52:00,Avión 19,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,23-00,4.0
14423,2021-05-11,07:01:00,Avión 25,PDQ,50702/1,NT503,79-00,60.0
14448,2021-05-12,13:22:00,Avión 24,PDQ,018311,nan,36-14-00,65.0
14465,2021-05-13,13:37:00,Avión 7,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT631,35-31,6.0
14468,2021-05-13,16:58:00,Avión 11,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT173,25-65,6.0
14471,2021-05-13,17:05:00,Avión 20,GRW,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT652,05-51,68.0
14473,2021-05-14,06:04:00,Avión 7,PDQ,99348/1,nan,80-11,50.0
14482,2021-05-14,11:49:00,Avión 31,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT145,28-25,3.0
14483,2021-05-14,12:35:00,Avión 25,PDQ,50711/1,nan,79-00,32.0
14489,2021-05-14,14:46:00,Avión 2,PIQ,100091/D1,NT135,52-11,4.0
14491,2021-05-14,16:43:00,Avión 17,PDQ,99194/D1,nan,61-11,23.0
14506,2021-05-15,10:11:00,Avión 24,PDQ,01838/1,NT5601,27-00,22.0
14537,2021-05-16,17:01:00,Avión 2,PIQ,01000941,NT175,52-31,38.0
14547,2021-05-17,06:08:00,Avión 12,PDQ,NO MAINTENANCE ACTION - OPERATIONAL,nan,73-00,13.0
14550,2021-05-17,07:37:00,Avión 11,SMA,CREW QUERY - OPERATIONAL,nan,UNK,7.0
14561,2021-05-17,18:12:00,Avión 5,PDQ,50648/1,NT312,23-51,11.0
14569,2021-05-18,07:29:00,Avión 14,HOR,5999181,453,27-70,0.0
14584,2021-05-18,14:40:00,Avión 16,PDQ,50160/D1,NT511,33-51,15.0
14601,2021-05-19,10:14:00,Avión 24,VGO,PILOT REPORT - OPERATIONAL,5230,27-50-00,73.0
14602,2021-05-19,11:10:00,Avión 6,nan,02738-01,nan,25-25-00,21.0
14611,2021-05-19,14:26:00,Avión 24,PDQ,01847-01,nan,27-51,295.0
14623,2021-05-20,06:43:00,Avión 12,PDQ,01765-01,nan,73-00,17.0
14640,2021-05-20,16:59:00,Avión 25,PIQ,50230/1,NT167,73-23,77.0
14649,2021-05-21,06:51:00,Avión 10,PDQ,99965/D1,nan,21-31,22.0
14653,2021-05-21,06:48:00,Avión 11,PDQ,100061/D1,NT236,10-20,13.0
14656,2021-05-21,07:28:00,Avión 31,nan,50403/D1,NT102,28-21,6.0
14666,2021-05-21,12:13:00,Avión 16,HOR,50167/1,NT516,72-00,10.0
14667,2021-05-21,13:19:00,Avión 25,PIQ,50230/1,NT167,73-23,176.0
14674,2021-05-22,08:18:00,Avión 5,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,34-00,4.0
14684,2021-05-22,16:59:00,Avión 19,PDQ,99215/D1,NT173,52-11,55.0
14686,2021-05-21,19:37:00,Avión 27,PDQ,INOPERATIVE SCHEDULED MAINTENANCE,nan,05-20,20.0
14698,2021-05-23,13:37:00,Avión 20,PDQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT365,35-31,6.0
14702,2021-05-23,14:15:00,Avión 9,PIQ,CARGO DOOR U/S,NT633,52-31,25.0
14706,2021-05-23,15:44:00,Avión 28,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,NT673,52-11,10.0
14714,2021-05-24,06:51:00,Avión 2,PDQ,OXYGEN MAIN SUPPLY BELOW 500 PSI.,nan,35-11,25.0
14718,2021-05-22,06:00:00,Avión 5,nan,EVENT FOR A NETLINE DELAY / CANCELLATION,NT500,UNK,5.0
14730,2021-05-24,14:12:00,Avión 24,nan,COCKPIT DOOR  CONTROL DOES NOT WORK,NT5951,52-51,10.0
14737,2021-05-24,18:21:00,Avión 3,PIQ,FMS 2 FAULT,NT475,34-61,37.0
14750,2021-05-25,06:37:00,Avión 13,FNC,GPS PROBLEM,nan,34-00,13.0
14752,2021-05-25,08:13:00,Avión 17,PIQ,99819/1,NT453,24-31,10.0
14760,2021-05-25,14:25:00,Avión 28,PDQ,0101822/1,NT644,29-00,19.0
14781,2021-05-27,06:23:00,Avión 7,nan,ENGINE START PROBLEM,NT318,24-46,29.0
14782,2021-05-27,06:29:00,Avión 11,PIQ,AHRS DISAGREMENT,NT471,34-25,22.0
14785,2021-05-27,11:14:00,Avión 9,PDQ,HYD LOW PRESSURE,NT156,29-00,55.0
14788,2021-05-27,13:04:00,Avión 5,HOR,ALTITUDE SELECTOR,517,34-00,73.0
14803,2021-05-28,05:45:00,Avión 11,PDQ,O2 BOTTLE EXP DATE UNREADABLE,NT107,35-31,5.0
14810,2021-05-28,15:41:00,Avión 17,nan,AHRS DISAGREMENT,NT166,34-20,43.0
14811,2021-05-28,17:17:00,Avión 25,PIQ,CARGO DOOR CLOSING PROBLEM,NT637,52-31,6.0
14814,2021-05-28,20:09:00,Avión 28,PDQ,LIGHTS,NT204,20-45,2.0
14827,2021-05-29,13:08:00,Avión 1,PIQ,NLG SHOCJ ABSORBER TOO LOW,NT656,12-14,18.0
14841,2021-05-30,06:31:00,Avión 1,PIQ,AUTOPRESS TEST INOP,NT655,21-31,15.0
14844,2021-05-30,13:11:00,Avión 17,PDQ,O2 BOTTLE LATCH BROKEN,NT120,35-00,8.0
14846,2021-05-30,14:07:00,Avión 2,PDQ,PILOT REPORT - OPERATIONAL,nan,31-61,15.0
14849,2021-05-30,17:39:00,Avión 22,PDQ,AILERON TRIMS WORKS FROM TIME TO TIME,nan,27-12,58.0
14864,2021-05-31,13:25:00,Avión 6,PDQ,04715/D1,nan,78-30,52.0
14877,2021-05-31,16:20:00,Avión 2,nan,CARGO DOOR CLOSING PROBLEMS,NT224,52-31,8.0
14888,2021-06-01,15:49:00,Avión 5,PDQ,TRASPORTIN TCP2 NO RECOGE,NT224,25-21,10.0
14902,2021-06-02,07:18:00,Avión 11,nan,STBY PITOT-STAT HTG FAILURE,NT604,30-30,3.0
14926,2021-06-03,07:12:00,Avión 31,FNC,PROBLEMA CON TCAS,nan,34-43,14.0
14940,2021-06-03,12:33:00,Avión 4,PIQ,PBE DESPRECINTADO,NT470,35-00,5.0
14942,2021-06-03,13:12:00,Avión 2,PDQ,O2 LOW PRESSURE,NT188,35-00,15.0
14947,2021-06-03,14:48:00,Avión 5,PDQ,TRASPORTIN TCP2 NO RECOGE,NT207,25-21,37.0
14964,2021-06-04,05:45:00,Avión 7,PIQ,MAINTENANCE ACTION WITHOUT PILOT REPORT - OPERATIONAL,nan,UNK,2.0
14966,2021-06-03,16:00:00,Avión 31,nan,RESETEO EN ARRANQUE,NT913,80-00,25.0
14992,2021-06-05,13:08:00,Avión 7,PIQ,AVIONICS SINGLE CHANNEL AT START UP,NT420,42-11,30.0
15003,2021-06-06,05:58:00,Avión 5,PDQ,SERVICE DOOR-HOLD OPEN DEVICE BROKEN,nan,52-42,28.0
15006,2021-06-06,08:33:00,Avión 9,PDQ,ENG1 FUEL LO PRESS LIGHT,NT119,28-21,7.0
15007,2021-06-06,09:23:00,Avión 28,PIQ,LOW PITCH,NT608,61-45,3.0
15026,2021-06-07,07:03:00,Avión 18,PIQ,YAW AUTOTRIM,NT487,22-00,92.0
15028,2021-06-07,08:45:00,Avión 2,PDQ,PROBLEMAS PUERTA BODEGA DELANTERA 09:45,590,52-31,9.0
15048,2021-06-08,07:41:00,Avión 1,PDQ,CAMBIO DE ESTADO QUEDA AVION EN MANTENIMIENTO,119,05-20,14.0
15072,2021-06-09,06:27:00,Avión 1,PIQ,P.B.TEST F/O OXY MASK TEST FAIL,NT135,35-13,39.0
15076,2021-06-09,07:45:00,Avión 6,PDQ,ENG2 FEED LOW PRESS,NT106,28-00,18.0
15079,2021-06-09,08:59:00,Avión 2,PIQ,CARGO DOOR CLOSING PROBLEM,659,52-31,4.0
15091,2021-06-09,17:12:00,Avión 18,PDQ,ENG1 FLAME OUT IN FLIGHT,NT366,72-00,109.0
15099,2021-06-10,05:56:00,Avión 6,PIQ,FUEL FEED FAULT,NT5251,73-31,4.0
15125,2021-06-11,13:13:00,Avión 4,PDQ,EXHAUST MODE FAULT,nan,21-23,106.0
15126,2021-06-11,13:13:00,Avión 3,PIQ,ENGINE 2 BLEED LEAK,NT145,36-11,173.0
15137,2021-06-12,07:12:00,Avión 8,PDQ,COLOCAR TIRA FLUORESCENTE PASILLO,NT102,25-00,7.0
15160,2021-06-13,15:06:00,Avión 2,nan,DU 3 FAULT,NT471,31-60,2.0
15171,2021-06-14,06:44:00,Avión 1,PIQ,FALLO AUDIO 06:44,607,23-50,17.0
15172,2021-06-14,08:14:00,Avión 8,PIQ,XRDR 2 FAULT IN FLIGHT,NT119,34-00,17.0
15206,2021-06-09,15:30:00,Avión 9,nan,NO INFO,nan,UNK,19.0
15210,2021-06-15,12:44:00,Avión 19,PDQ,QUITAR PRECINTO PBE,214,25-65,2.0
15225,2021-06-15,13:00:00,Avión 2,PIQ,CARGO DOOR CLOSING PROBLEM,NT622,52-31,8.0
15233,2021-06-16,10:15:00,Avión 2,PIQ,AIR AUTO PRESS FAULT,NT662,21-31,23.0
15239,2021-06-16,15:19:00,Avión 7,PDQ,PROBLEMAS CON GPU,nan,24-40,9.0
15265,2021-06-17,14:55:00,Avión 15,PDQ,SMOKE DETECTION,nan,26-10,12.0
15285,2021-06-18,05:56:00,Avión 13,PDQ,SCC PA AND PANEL U/S,NT207,23-31,40.0
15323,2021-06-19,12:50:00,Avión 20,PDQ,ATTENDAND HANDSET TCP II U/S,NT151,23-43,5.0
15351,2021-06-20,15:31:00,Avión 9,PIQ,SEAT LOOSE,NT421,25-21,9.0
15358,2021-06-21,05:20:00,Avión 24,PDQ,TRU2 FAIL,nan,24-00,8.0
15371,2021-06-21,13:15:00,Avión 7,PIQ,PROBLEMAS GPU,420,24-40,22.0
15380,2021-06-21,17:18:00,Avión 24,PIQ,CAUTION FLAP FAULT,NT5751,27-53,31.0
15453,2021-06-23,15:15:00,Avión 11,PIQ,PROBLEMAS MASCARILLA,nan,35-12,5.0
